Outlines of the full ICESat-based drainage
systems generated by the Ice Altimetry
group at Goddard Space Flight Center, based
on ICESat campaigns L2a-c, L3a-c
(2003 Feb - 2005 May).
Each record: drainage subsystem, lat (deg N), lon (deg E)
END OF HEADER
6.1 -526251.010403 -3015229.81987
6.1 -526172.832134 -3015207.8665
6.1 -526124.691393 -3015182.77103
6.1 -526046.462953 -3015160.82368
6.1 -525998.37675 -3015135.71712
6.1 -525950.113735 -3015110.52411
6.1 -525903.564697 -3015100.43711
6.1 -525870.32059 -3015073.67383
6.1 -525822.164944 -3015048.46054
6.1 -525725.718002 -3014998.17261
6.1 -525634.298403 -3014992.87147
6.1 -525537.804179 -3014942.58695
6.1 -525428.093356 -3014908.84147
6.1 -525288.44484 -3014878.44162
6.1 -525178.707241 -3014844.80975
6.1 -525040.64991 -3014829.41059
6.1 -524917.485853 -3014812.34612
6.1 -524792.793366 -3014780.25546
6.1 -524669.706441 -3014763.28514
6.1 -524589.888402 -3014726.4114
6.1 -524496.777239 -3014705.96915
6.1 -524416.963166 -3014669.09103
6.1 -524325.403681 -3014663.77818
6.1 -524274.041875 -3014608.76173
6.1 -524194.21371 -3014571.76474
6.1 -524114.387601 -3014534.76575
6.1 -524019.713787 -3014499.64603
6.1 -523923.246172 -3014449.19886
6.1 -523811.965543 -3014400.50663
6.1 -523700.550588 -3014351.95119
6.1 -523557.621304 -3014291.36303
6.1 -523399.672358 -3014232.56076
6.1 -523241.67763 -3014173.75968
6.1 -523067.207444 -3014101.47509
6.1 -522940.805753 -3014054.44779
6.1 -522794.535654 -3013964.07272
6.1 -522666.603687 -3013901.8998
6.1 -522536.965664 -3013824.85006
6.1 -522412.263075 -3013792.79577
6.1 -522317.511278 -3013757.5299
6.1 -522269.251678 -3013732.29009
6.1 -522206.075148 -3013708.81775
6.1 -522157.942156 -3013683.67131
6.1 -522096.339099 -3013675.20916
6.1 -522018.208749 -3013653.27404
6.1 -521971.649286 -3013643.13717
6.1 -521893.521037 -3013621.19891
6.1 -521815.341549 -3013599.26778
6.1 -521705.59573 -3013565.53209
6.1 -521595.872379 -3013531.9058
6.1 -521456.154779 -3013501.48307
6.1 -521316.493406 -3013471.04489
6.1 -521175.163211 -3013425.60593
6.1 -521018.744692 -3013381.8369
6.1 -520830.875915 -3013326.23032
6.1 -520643.015291 -3013270.61238
6.1 -520483.434545 -3013196.80005
6.1 -520328.762853 -3013167.98174
6.1 -520170.759257 -3013109.16628
6.1 -519997.881535 -3013051.9778
6.1 -519869.935656 -3012989.94516
6.1 -519741.975708 -3012927.79411
6.1 -519613.988195 -3012865.7603
6.1 -519442.644476 -3012823.56315
6.1 -519327.969083 -3012744.7594
6.1 -519215.002307 -3012681.17308
6.1 -519043.729284 -3012638.94498
6.1 -518930.753466 -3012575.23527
6.1 -518787.744041 -3012514.71168
6.1 -518676.406888 -3012466.11021
6.1 -518535.088814 -3012420.68331
6.1 -518392.095947 -3012360.14177
6.1 -518264.110688 -3012298.0626
6.1 -518122.827807 -3012252.73039
6.1 -517964.838021 -3012193.93553
6.1 -517821.921749 -3012133.35909
6.1 -517678.945443 -3012073.02084
6.1 -517564.2599 -3011994.28588
6.1 -517419.672974 -3011918.81868
6.1 -517308.363339 -3011870.05583
6.1 -517163.736591 -3011794.58611
6.1 -517035.717224 -3011732.58896
6.1 -516922.714941 -3011668.82656
6.1 -516826.387931 -3011618.64462
6.1 -516733.24569 -3011598.35482
6.1 -516650.158114 -3011531.31793
6.1 -516600.372576 -3011491.22358
6.1 -516507.183816 -3011470.93606
6.1 -516430.730767 -3011463.98752
6.1 -516382.476315 -3011438.78969
6.1 -516334.347231 -3011413.6864
6.1 -516256.087996 -3011391.76536
6.1 -516207.960827 -3011366.66015
6.1 -516114.77993 -3011346.3608
6.1 -516064.985291 -3011306.14489
6.1 -516003.482139 -3011297.67439
6.1 -515955.253686 -3011272.58336
6.1 -515908.708607 -3011262.36458
6.1 -515877.106928 -3011250.63477
6.1 -515828.860984 -3011225.42852
6.1 -515782.336675 -3011215.32114
6.1 -515720.83689 -3011206.84498
6.1 -515672.593141 -3011181.63633
6.1 -515609.39401 -3011158.17162
6.1 -515561.257155 -3011132.94328
6.1 -515469.737428 -3011127.61984
6.1 -515391.618692 -3011105.77231
6.1 -515313.429365 -3011083.8185
6.1 -515220.233198 -3011063.61445
6.1 -515142.09927 -3011041.64731
6.1 -515049.011304 -3011021.4201
6.1 -514970.88022 -3010999.44862
6.1 -514894.309577 -3010992.60199
6.1 -514802.745663 -3010987.2675
6.1 -514756.230424 -3010977.1446
6.1 -514708.019086 -3010952.03437
6.1 -514648.174247 -3010958.53227
6.1 -514603.179251 -3010963.30732
6.1 -514541.586067 -3010954.82542
6.1 -514465.124262 -3010947.95002
6.1 -514418.539567 -3010937.71765
6.1 -514356.967316 -3010929.34533
6.1 -514295.461979 -3010920.72719
6.1 -514217.308317 -3010898.8588
6.1 -514125.77087 -3010893.61722
6.1 -514047.652899 -3010871.62223
6.1 -513909.556003 -3010856.24875
6.1 -513786.434965 -3010839.24673
6.1 -513663.316028 -3010822.23974
6.1 -513521.98228 -3010776.73454
6.1 -513367.390155 -3010747.94356
6.1 -513197.704851 -3010720.66879
6.1 -513028.043238 -3010693.4979
6.1 -512858.385993 -3010666.31759
6.1 -512703.652793 -3010637.51991
6.1 -512549.081231 -3010608.68758
6.1 -512394.356035 -3010579.87427
6.1 -512256.291616 -3010564.42593
6.1 -512114.932416 -3010519.10071
6.1 -512005.23777 -3010485.40755
6.1 -511835.556567 -3010458.17948
6.1 -511725.835138 -3010424.59863
6.1 -511616.07804 -3010390.78728
6.1 -511491.391814 -3010358.80963
6.1 -511411.54795 -3010321.89131
6.1 -511286.867626 -3010289.90543
6.1 -511192.111118 -3010254.58247
6.1 -511112.274236 -3010217.65655
6.1 -510985.904041 -3010170.55755
6.1 -510889.529088 -3010120.22881
6.1 -510776.529264 -3010056.63013
6.1 -510680.142353 -3010006.18179
6.1 -510583.744652 -3009955.96612
6.1 -510487.383552 -3009905.62532
6.1 -510404.264003 -3009838.69721
6.1 -510277.922344 -3009791.56998
6.1 -510181.538489 -3009741.34224
6.1 -510071.814028 -3009707.7123
6.1 -509930.464954 -3009662.1838
6.1 -509822.316365 -3009643.55069
6.1 -509711.012878 -3009594.78894
6.1 -509586.196268 -3009562.88389
6.1 -509493.106684 -3009542.50656
6.1 -509414.951178 -3009520.64803
6.1 -509291.82828 -3009503.48351
6.1 -509228.641426 -3009480.02018
6.1 -509165.508187 -3009456.54668
6.1 -509087.339056 -3009434.56653
6.1 -509040.772387 -3009424.37511
6.1 -509024.155609 -3009411.09906
6.1 -508977.58962 -3009400.90669
6.1 -508929.458782 -3009375.70771
6.1 -508897.877869 -3009364.0292
6.1 -508851.313241 -3009353.83493
6.1 -508789.698368 -3009345.36863
6.1 -508726.500528 -3009321.78179
6.1 -508648.41096 -3009299.895
6.1 -508581.930454 -3009246.31998
6.1 -508535.388381 -3009236.23429
6.1 -508488.827559 -3009226.03456
6.1 -508440.599017 -3009200.84587
6.1 -508379.113613 -3009192.46693
6.1 -508299.291627 -3009155.47867
6.1 -508204.527348 -3009120.19643
6.1 -508139.725493 -3009081.60061
6.1 -508043.351871 -3009031.31638
6.1 -507903.601497 -3009000.82398
6.1 -507788.941789 -3008922.14846
6.1 -507646.047616 -3008861.75459
6.1 -507501.476464 -3008786.25252
6.1 -507388.44625 -3008722.56013
6.1 -507277.031388 -3008673.86105
6.1 -507195.646931 -3008621.96117
6.1 -507160.790162 -3008580.16624
6.1 -507112.602836 -3008555.07087
6.1 -507080.967246 -3008543.26965
6.1 -507066.006893 -3008544.8587
6.1 -507064.44974 -3008529.85259
6.1 -507017.926024 -3008519.74419
6.1 -506984.629431 -3008492.95358
6.1 -506921.432602 -3008469.45274
6.1 -506840.040573 -3008417.43066
6.1 -506761.88709 -3008395.51448
6.1 -506635.502738 -3008348.50257
6.1 -506522.507879 -3008284.77974
6.1 -506411.091224 -3008236.17248
6.1 -506238.186287 -3008178.91305
6.1 -506110.215323 -3008116.88264
6.1 -505982.302344 -3008054.83826
6.1 -505870.885049 -3008006.09859
6.1 -505761.147114 -3007972.45694
6.1 -505683.01554 -3007950.51369
6.1 -505589.894955 -3007930.27237
6.1 -505541.660752 -3007905.04864
6.1 -505478.489773 -3007881.51873
6.1 -505415.267389 -3007857.99635
6.1 -505368.709675 -3007847.87201
6.1 -505290.585237 -3007825.91885
6.1 -505244.028667 -3007815.79262
6.1 -505195.799549 -3007790.5636
6.1 -505134.306969 -3007782.12877
6.1 -505071.090038 -3007758.5994
6.1 -504978.01509 -3007738.21744
6.1 -504884.803298 -3007717.97243
6.1 -504775.109578 -3007684.40918
6.1 -504678.736867 -3007634.04051
6.1 -504583.932649 -3007598.78877
6.1 -504489.16437 -3007563.41202
6.1 -504394.365073 -3007528.15454
6.1 -504283.068978 -3007479.46292
6.1 -504188.275219 -3007444.1992
6.1 -504093.51741 -3007408.81047
6.1 -503998.728572 -3007373.54101
6.1 -503903.961185 -3007338.38202
6.1 -503842.465648 -3007329.80798
6.1 -503747.663958 -3007294.41753
6.1 -503654.530728 -3007274.12662
6.1 -503546.412572 -3007255.52664
6.1 -503436.631286 -3007221.82035
6.1 -503341.85798 -3007186.53084
6.1 -503218.846243 -3007169.48107
6.1 -503140.62232 -3007147.61335
6.1 -503014.378725 -3007100.56819
6.1 -502921.154134 -3007080.27262
6.1 -502842.96903 -3007058.27524
6.1 -502748.209618 -3007022.9676
6.1 -502670.065613 -3007001.19256
6.1 -502576.986144 -3006980.7469
6.1 -502498.844971 -3006958.96751
6.1 -502420.667267 -3006936.95945
6.1 -502357.513354 -3006913.48832
6.1 -502280.94545 -3006906.58823
6.1 -502217.741091 -3006883.12302
6.1 -502156.211563 -3006874.52387
6.1 -502106.405785 -3006834.37134
6.1 -502014.909727 -3006829.14235
6.1 -501938.345932 -3006822.23366
6.1 -501830.314711 -3006803.5644
6.1 -501720.542201 -3006769.91925
6.1 -501597.407754 -3006752.83054
6.1 -501474.327883 -3006735.7281
6.1 -501352.85299 -3006733.73251
6.1 -501244.726453 -3006715.06001
6.1 -501138.256109 -3006711.48684
6.1 -501013.548362 -3006679.37596
6.1 -500907.080763 -3006675.79466
6.1 -500813.944157 -3006655.42623
6.1 -500722.409067 -3006650.16701
6.1 -500674.208673 -3006624.99038
6.1 -500612.712011 -3006616.47343
6.1 -500549.511806 -3006592.86063
6.1 -500501.280349 -3006567.80345
6.1 -500426.364251 -3006575.84667
6.1 -500361.606243 -3006537.34466
6.1 -500300.008113 -3006528.83889
6.1 -500221.883284 -3006506.88824
6.1 -500128.777924 -3006486.61238
6.1 -500037.252064 -3006481.33255
6.1 -499929.167772 -3006462.72685
6.1 -499822.695835 -3006458.99417
6.1 -499682.951607 -3006428.63517
6.1 -499544.872687 -3006413.13801
6.1 -499406.814927 -3006397.74794
6.1 -499300.315046 -3006394.11898
6.1 -499162.261048 -3006378.71777
6.1 -499055.763448 -3006375.0802
6.1 -498949.319157 -3006371.43016
6.1 -498827.875917 -3006369.33332
6.1 -498721.380882 -3006365.68396
6.1 -498629.833904 -3006360.48367
6.1 -498569.925201 -3006366.92478
6.1 -498478.379163 -3006361.7199
6.1 -498401.919605 -3006354.82674
6.1 -498338.747844 -3006331.1684
6.1 -498277.236797 -3006322.7263
6.1 -498154.145006 -3006305.7337
6.1 -498061.01605 -3006285.40336
6.1 -497982.782789 -3006263.53491
6.1 -497891.329633 -3006258.18157
6.1 -497799.843526 -3006252.94753
6.1 -497708.305688 -3006247.71942
6.1 -497616.80229 -3006242.36647
6.1 -497510.285935 -3006238.79657
6.1 -497405.474494 -3006250.08328
6.1 -497280.707159 -3006217.9595
6.1 -497142.617598 -3006202.71052
6.1 -497034.57576 -3006184.00197
6.1 -496926.430839 -3006165.30694
6.1 -496836.56882 -3006175.03506
6.1 -496775.05079 -3006166.44918
6.1 -496683.540746 -3006161.30347
6.1 -496638.565044 -3006166.05519
6.1 -496563.68291 -3006174.11574
6.1 -496503.746396 -3006180.6378
6.1 -496440.583157 -3006157.17573
6.1 -496395.678912 -3006162.02854
6.1 -496350.722164 -3006166.88935
6.1 -496274.122938 -3006159.96852
6.1 -496229.271254 -3006164.81019
6.1 -496182.702509 -3006154.67694
6.1 -496106.175789 -3006147.85659
6.1 -496029.578524 -3006140.92959
6.1 -495938.16021 -3006135.63061
6.1 -495844.974734 -3006115.36315
6.1 -495770.042456 -3006123.41262
6.1 -495693.623942 -3006116.56455
6.1 -495602.122245 -3006111.38611
6.1 -495542.187987 -3006117.88904
6.1 -495452.310917 -3006127.46245
6.1 -495359.078674 -3006107.18871
6.1 -495267.66564 -3006101.86947
6.1 -495192.824302 -3006110.12271
6.1 -495101.307323 -3006104.81572
6.1 -494979.710128 -3006102.71226
6.1 -494886.64129 -3006082.3981
6.1 -494810.176707 -3006075.53637
6.1 -494687.048825 -3006058.53381
6.1 -494595.536572 -3006053.21155
6.1 -494517.365357 -3006031.36753
6.1 -494427.511178 -3006041.02376
6.1 -494306.010896 -3006039.11136
6.1 -494257.904233 -3006013.94773
6.1 -494196.247095 -3006005.33543
6.1 -494134.785156 -3005996.9228
6.1 -494056.601631 -3005974.9536
6.1 -493995.017512 -3005966.44201
6.1 -493918.56114 -3005959.55781
6.1 -493840.399468 -3005937.6965
6.1 -493717.269529 -3005920.54131
6.1 -493624.186073 -3005900.31068
6.1 -493516.003459 -3005881.62494
6.1 -493407.946235 -3005863.03154
6.1 -493286.441213 -3005860.96487
6.1 -493163.39175 -3005843.89204
6.1 -493041.836701 -3005841.82415
6.1 -492965.40772 -3005835.02934
6.1 -492842.310547 -3005817.9521
6.1 -492750.783153 -3005812.69616
6.1 -492642.718369 -3005793.96215
6.1 -492536.21642 -3005790.33919
6.1 -492414.667789 -3005788.24608
6.1 -492323.267477 -3005783.07342
6.1 -492241.764375 -3005731.0977
6.1 -492118.750634 -3005714.096
6.1 -492057.130342 -3005705.55375
6.1 -491993.970689 -3005682.00863
6.1 -491915.783951 -3005660.10675
6.1 -491855.862478 -3005666.53633
6.1 -491776.157278 -3005629.74263
6.1 -491684.623522 -3005624.34113
6.1 -491651.333633 -3005597.64994
6.1 -491559.925056 -3005592.34093
6.1 -491481.797568 -3005570.41942
6.1 -491418.594014 -3005546.87112
6.1 -491343.718777 -3005555.03731
6.1 -491263.900613 -3005518.13419
6.1 -491169.109851 -3005482.86128
6.1 -491044.406543 -3005450.72679
6.1 -490936.234311 -3005432.07156
6.1 -490826.529397 -3005398.41057
6.1 -490733.440309 -3005378.10052
6.1 -490638.661786 -3005342.81138
6.1 -490575.4713 -3005319.24588
6.1 -490450.749856 -3005287.20932
6.1 -490385.872462 -3005248.66367
6.1 -490322.791254 -3005225.07594
6.1 -490246.236057 -3005218.23855
6.1 -490183.070481 -3005194.77849
6.1 -490133.224033 -3005154.59179
6.1 -490056.671656 -3005147.74966
6.1 -489991.907625 -3005109.17883
6.1 -489897.148154 -3005073.86715
6.1 -489785.713308 -3005025.0881
6.1 -489674.424167 -3004976.51483
6.1 -489548.025485 -3004929.35207
6.1 -489405.097752 -3004868.92748
6.1 -489275.496045 -3004791.77515
6.1 -489145.866973 -3004714.73959
6.1 -489017.928376 -3004652.6754
6.1 -488921.460788 -3004602.36632
6.1 -488825.119836 -3004552.15067
6.1 -488745.292303 -3004515.07882
6.1 -488682.102776 -3004491.59711
6.1 -488633.935802 -3004466.48603
6.1 -488617.337102 -3004453.12046
6.1 -488572.377787 -3004457.98722
6.1 -488525.789197 -3004447.86813
6.1 -488479.253445 -3004437.73981
6.1 -488431.018402 -3004412.52071
6.1 -488369.515021 -3004404.00929
6.1 -488319.705673 -3004363.79477
6.1 -488226.481883 -3004343.55678
6.1 -488148.366764 -3004321.55982
6.1 -488083.612222 -3004283.0722
6.1 -488020.433881 -3004259.57707
6.1 -487924.049651 -3004209.22902
6.1 -487800.952071 -3004192.20165
6.1 -487721.132965 -3004155.33907
6.1 -487641.420781 -3004118.45745
6.1 -487576.55424 -3004079.86311
6.1 -487528.280805 -3004054.63874
6.1 -487480.202299 -3004029.61495
6.1 -487402.050045 -3004007.60774
6.1 -487367.174008 -3003965.77355
6.1 -487272.419014 -3003930.62638
6.1 -487192.595526 -3003893.63708
6.1 -487096.18555 -3003843.27239
6.1 -487047.990998 -3003818.14566
6.1 -486966.569529 -3003766.27873
6.1 -486885.184855 -3003714.28785
6.1 -486821.976983 -3003690.77712
6.1 -486742.165822 -3003653.77651
6.1 -486705.751718 -3003597.05512
6.1 -486657.511973 -3003571.93106
6.1 -486609.325477 -3003546.79777
6.1 -486562.760437 -3003536.64918
6.1 -486527.900305 -3003494.80649
6.1 -486479.76857 -3003469.66277
6.1 -486431.53282 -3003444.53531
6.1 -486384.970185 -3003434.38406
6.1 -486350.11344 -3003392.53957
6.1 -486298.622596 -3003337.32591
6.1 -486217.244908 -3003285.55376
6.1 -486119.199713 -3003220.183
6.1 -486056.008799 -3003196.65704
6.1 -486004.526018 -3003141.43899
6.1 -485936.517683 -3003072.83263
6.1 -485886.727271 -3003032.70326
6.1 -485806.911113 -3002995.80144
6.1 -485757.071182 -3002955.67859
6.1 -485690.636463 -3002902.06126
6.1 -485640.851833 -3002861.92824
6.1 -485577.67239 -3002838.39284
6.1 -485527.837832 -3002798.26659
6.1 -485477.933766 -3002758.03467
6.1 -485399.798207 -3002736.09964
6.1 -485349.967581 -3002695.97071
6.1 -485285.231312 -3002657.43562
6.1 -485220.32115 -3002618.81122
6.1 -485138.980562 -3002567.01234
6.1 -485074.179005 -3002528.36808
6.1 -485007.730903 -3002474.85901
6.1 -484927.959054 -3002438.04874
6.1 -484863.162948 -3002399.40028
6.1 -484781.763551 -3002347.48753
6.1 -484685.304744 -3002297.18974
6.1 -484605.575925 -3002260.24951
6.1 -484509.12304 -3002209.94639
6.1 -484427.73488 -3002158.02473
6.1 -484329.67713 -3002092.7308
6.1 -484248.295105 -3002040.80468
6.1 -484151.907718 -3001990.48241
6.1 -484053.913604 -3001925.17177
6.1 -483957.428462 -3001874.86056
6.1 -483859.494602 -3001809.53563
6.1 -483748.062001 -3001760.81401
6.1 -483635.095689 -3001697.20793
6.1 -483537.051465 -3001631.77673
6.1 -483440.707712 -3001581.54652
6.1 -483342.689624 -3001516.22291
6.1 -483246.229861 -3001465.89032
6.1 -483148.167257 -3001400.5693
6.1 -483051.8193 -3001350.21401
6.1 -482970.39255 -3001298.38617
6.1 -482874.050933 -3001248.02554
6.1 -482792.559345 -3001196.08824
6.1 -482697.898904 -3001160.81282
6.1 -482631.416154 -3001107.27282
6.1 -482566.591648 -3001068.70864
6.1 -482471.76285 -3001033.33828
6.1 -482392.062284 -3000996.46457
6.1 -482323.933392 -3000927.94124
6.1 -482260.771397 -3000904.34805
6.1 -482210.976378 -3000864.2937
6.1 -482162.818668 -3000839.10234
6.1 -482081.350277 -3000787.14718
6.1 -482034.743903 -3000776.94787
6.1 -481986.65975 -3000751.85887
6.1 -481955.0558 -3000740.06325
6.1 -481921.79888 -3000713.29013
6.1 -481875.212638 -3000703.20185
6.1 -481858.610848 -3000689.81072
6.1 -481780.457069 -3000667.80226
6.1 -481732.201642 -3000642.62118
6.1 -481637.538771 -3000607.43571
6.1 -481602.668471 -3000565.56026
6.1 -481554.468589 -3000540.3681
6.1 -481477.904471 -3000533.57294
6.1 -481429.776873 -3000508.48387
6.1 -481381.527165 -3000483.29746
6.1 -481333.330652 -3000458.10191
6.1 -481300.134684 -3000431.31403
6.1 -481251.905518 -3000406.2391
6.1 -481205.36143 -3000396.01889
6.1 -481155.570381 -3000355.83499
6.1 -481123.940228 -3000344.15283
6.1 -481075.748199 -3000318.9534
6.1 -481029.172126 -3000308.85238
6.1 -480979.38481 -3000268.66579
6.1 -480917.758834 -3000260.1615
6.1 -480852.97524 -3000221.56266
6.1 -480758.214754 -3000186.25401
6.1 -480678.507259 -3000149.34557
6.1 -480596.997335 -3000097.4829
6.1 -480520.536054 -3000090.53358
6.1 -480425.732035 -3000055.22321
6.1 -480330.98284 -3000019.90157
6.1 -480249.587502 -2999968.01322
6.1 -480169.735704 -2999931.11704
6.1 -480074.993927 -2999895.78767
6.1 -480010.195373 -2999857.29348
6.1 -479961.968899 -2999832.08548
6.1 -479898.765117 -2999808.57489
6.1 -479819.079399 -2999771.6447
6.1 -479754.182201 -2999733.16208
6.1 -479674.500405 -2999696.22827
6.1 -479594.645471 -2999659.20411
6.1 -479498.277636 -2999608.87982
6.1 -479373.47864 -2999576.82461
6.1 -479245.557136 -2999514.78402
6.1 -479117.588785 -2999452.74663
6.1 -478989.678288 -2999390.69571
6.1 -478860.010764 -2999313.56527
6.1 -478717.013903 -2999253.09954
6.1 -478604.009042 -2999189.47098
6.1 -478537.588813 -2999135.85588
6.1 -478442.807853 -2999100.60738
6.1 -478363.05583 -2999063.65721
6.1 -478313.167128 -2999023.45487
6.1 -478278.341906 -2998981.78031
6.1 -478200.179587 -2998959.81211
6.1 -478180.382218 -2998916.43854
6.1 -478132.134671 -2998891.21119
6.1 -478100.533669 -2998879.49856
6.1 -478052.357858 -2998854.37509
6.1 -478004.21713 -2998829.12912
6.1 -477984.318257 -2998785.77125
6.1 -477921.101902 -2998762.22929
6.1 -477869.640426 -2998707.03433
6.1 -477819.833961 -2998666.92977
6.1 -477738.413948 -2998614.99482
6.1 -477643.659707 -2998579.72246
6.1 -477575.63455 -2998511.11049
6.1 -477477.599971 -2998445.76444
6.1 -477379.569542 -2998380.41546
6.1 -477283.08966 -2998330.17134
6.1 -477170.097176 -2998266.50109
6.1 -477072.079121 -2998201.14284
6.1 -476975.696894 -2998150.75937
6.1 -476894.323126 -2998098.91674
6.1 -476797.947252 -2998048.52792
6.1 -476669.902663 -2997986.53937
6.1 -476590.150588 -2997949.55333
6.1 -476493.698311 -2997899.28536
6.1 -476367.34821 -2997852.25397
6.1 -476302.589386 -2997813.69352
6.1 -476237.832221 -2997775.13177
6.1 -476158.004962 -2997738.26489
6.1 -476093.251317 -2997699.70023
6.1 -476015.003127 -2997677.81584
6.1 -475965.184997 -2997637.69149
6.1 -475930.334472 -2997595.88807
6.1 -475880.518618 -2997555.76252
6.1 -475785.752132 -2997520.32921
6.1 -475704.363741 -2997468.46484
6.1 -475641.142938 -2997444.88552
6.1 -475573.151104 -2997376.35479
6.1 -475478.360037 -2997341.034
6.1 -475398.554237 -2997304.14807
6.1 -475333.767416 -2997265.57645
6.1 -475267.357994 -2997212.02566
6.1 -475187.506029 -2997175.14274
6.1 -475122.724671 -2997136.56689
6.1 -475042.928947 -2997099.67204
6.1 -474993.132605 -2997059.53303
6.1 -474944.890089 -2997034.26602
6.1 -474910.024865 -2996992.57401
6.1 -474861.906674 -2996967.40265
6.1 -474813.684697 -2996942.24712
6.1 -474735.52005 -2996920.32245
6.1 -474687.300001 -2996895.16499
6.1 -474637.511549 -2996855.02061
6.1 -474587.672035 -2996814.88378
6.1 -474507.891778 -2996777.97554
6.1 -474458.037209 -2996737.7233
6.1 -474331.685372 -2996690.74036
6.1 -474266.925512 -2996652.1473
6.1 -474200.495357 -2996598.58328
6.1 -474075.773068 -2996566.56796
6.1 -473979.304428 -2996516.24062
6.1 -473914.552999 -2996477.64042
